iter	Passed	Remaining
912	8916	849
913	8922	839
914	8928	829
915	8935	819
916	8941	809
917	8948	799
918	8955	789
919	8961	779
920	8968	769
921	8974	759
922	8981	749
923	8987	739
924	8994	729
925	9001	719
926	9007	709
927	9014	699
928	9021	689
929	9029	679
930	9037	669
931	9045	659
932	9052	650
933	9059	640
934	9066	630
935	9072	620
936	9079	610
937	9086	600
938	9092	590
939	9099	580
940	9106	570
941	9112	561
942	9119	551
943	9126	541
944	9132	531
945	9139	521
946	9146	511
947	9153	502
948	9159	492
949	9166	482
950	9173	472
951	9179	462
952	9186	453
953	9192	443
954	9199	433
955	9206	423
956	9212	413
957	9218	404
958	9226	394
959	9235	384
960	9242	375
961	9249	365
962	9255	355
963	9262	345
964	9268	336
965	9274	326
966	9280	316
967	9285	306
968	9293	297
969	9299	287
970	9310	278
971	9317	268
972	9323	258
973	9329	249
974	9335	239
975	9343	229
976	9349	220
977	9355	210
978	9361	200
979	9367	191
980	9373	181
981	9379	171
982	9385	162
983	9391	152
984	9397	143
985	9403	133
986	9410	123
987	9416	114
988	9423	104
989	9430	95
990	9436	85
991	9443	76
992	9449	66
993	9455	57
994	9461	47
995	9467	38
996	9473	28
997	9479	18
998	9485	9
999	9491	0
